"total_counts"
2196
2560
1784
2159
1841
1236
1490
1907
5903
2020
3794
3033
1861
2958
1589
2627
2504
1437
7174
3164
2698
3868
2055
1730
1358
2437
1595
1883
1402
1194
2145
2479
2459
1393
1068
2802
2803
2692
800
1035
876
3257
1410
3170
986
2409
3568
2085
963
1366
1034
2419
2227
3415
1687
921
2623
3579
2307
3570
1873
2947
2843
1269
2005
2257
2051
5412
3109
2245
2449
2686
1070
2509
2230
309
4492
4921
3119
3858
2132
2122
3099
1633
4650
2420
1709
2268
983
6409
2789
4568
913
2546
1456
1531
2487
275
3595
3021
1796
2433
2200
2593
2666
1783
406
953
1547
2978
4470
2175
846
1585
3692
3086
2482
3813
1879
736
596
801
2267
2211
3315
1657
7073
1902
1796
1136
1906
1921
1317
1598
1422
1551
322
1893
3427
2828
3199
2988
5272
2451
2744
1767
1617
2915
5385
2282
2203
3027
1094
2898
1595
1467
620
1288
4859
3037
2132
1621
2300
1414
915
1100
2549
2908
3853
2746
1408
2459
2070
2062
1721
2782
768
1456
682
769
743
652
610
974
292
782
1022
1018
772
888
1133
543
274
1052
566
1134
744
1489
3549
2626
3763
3788
1801
1571
3627
1983
1488
2178
2082
1860
2118
1869
1831
1644
1581
2097
1674
2897
2796
1278
1482
1778
1746
1794
3012
1877
