"barcode_rank"	"total_counts"	"fitted"	"is_empty"
190	1035	1045.7916800684	FALSE
191	1034	1032.51287132549	FALSE
192	1022	1019.51949588226	FALSE
193	1018	1006.65235036896	FALSE
194	986	993.784127445807	FALSE
195	983	980.801971600456	FALSE
196	974	967.600119056317	FALSE
197	963	954.087468068976	FALSE
198	953	940.203792780103	FALSE
199	921	925.907150377348	FALSE
200	915	911.184093328022	FALSE
201	913	896.033781972696	FALSE
202	888	880.470457553708	FALSE
203	876	864.524578535668	FALSE
204	846	848.271180595862	FALSE
205	801	831.78609746988	FALSE
206	800	815.118545914998	FALSE
207	782	798.29313443632	FALSE
208	772	781.269327250928	FALSE
209	769	763.993653365245	FALSE
210	768	746.404899896311	FALSE
211	744	728.459148792676	FALSE
212	743	710.161740495236	FALSE
213	736	691.555176923893	FALSE
214	682	672.769716080325	FALSE
215	652	653.955434455331	FALSE
216	620	635.286941268384	FALSE
217	610	616.919570797009	FALSE
218	596	598.958554902388	FALSE
219	566	581.48299193313	FALSE
220	543	564.544056615402	FALSE
221	406	NA	FALSE
222	322	NA	FALSE
223	309	NA	FALSE
224	292	NA	FALSE
225	275	NA	FALSE
226	274	NA	FALSE
