"barcode_rank"	"total_counts"	"fitted"	"is_empty"
197	1379	1424.74698325722	FALSE
198	1352	1396.74630184652	FALSE
199	1347	1369.72053474293	FALSE
200	1301	1343.34083884814	FALSE
201	1284	1317.02748969531	FALSE
202	1266	1290.13974064734	FALSE
203	1262	1261.88174989027	FALSE
204	1260	1231.42679901719	FALSE
205	1249	1198.10292324821	FALSE
206	1229	1161.554794319	FALSE
207	1185	1121.69914913815	FALSE
208	1143	1078.97217453664	FALSE
209	1081	1034.02794472121	FALSE
210	1063	987.872137824637	FALSE
211	922	941.549081913183	FALSE
212	817	896.215828347062	FALSE
213	801	852.764837609959	FALSE
214.5	723	791.704890171018	FALSE
214.5	723	791.704890171018	FALSE
216	720	735.628966538614	FALSE
217	711	700.533076057695	FALSE
218	708	666.921942552372	FALSE
219	703	634.635540495614	FALSE
220	585	603.616047800244	FALSE
221	535	574.032305133376	FALSE
222	423	NA	FALSE
