"total_counts"
6401
6117
2432
1249
1809
4594
4236
7344
3178
1911
3059
4106
3845
5257
4649
5883
6412
3057
3948
4443
1922
1796
4291
5164
12653
1379
2550
5400
5294
1185
6285
4709
3345
3610
4396
5492
4325
2405
3121
1960
2617
3981
1875
3739
7102
6370
2599
3405
3355
5266
6043
5093
4105
5563
2702
708
6253
2188
4442
3925
6331
3532
1301
4990
3697
6882
4078
2526
7223
2148
3074
2545
4828
4665
4438
4116
5339
6055
3034
1995
2801
4181
4076
7156
9940
9310
3634
5905
5299
2360
3123
1650
4951
3817
6665
2295
7948
3849
5313
4286
3537
2780
4828
4006
1352
1778
3595
4277
8807
2835
4705
2008
7839
1538
4652
5408
1229
11244
5820
6872
6827
1594
4222
5744
3560
4868
3464
2384
6302
1928
4763
2973
5590
5199
4084
2189
2205
1284
2629
5880
6316
1695
5082
5472
9161
2490
2815
3586
5467
1262
4222
2297
1266
3367
3550
2088
7186
5381
3947
4471
6388
3726
7555
3956
5897
3848
3442
8249
6426
6812
5208
4552
3489
4031
817
585
1081
801
1260
703
1063
1347
1662
1447
723
723
535
720
922
711
1456
423
1143
2845
3082
4406
1836
2926
7266
4256
3759
2664
1678
1985
2091
1679
4245
1896
2182
2912
1530
3346
2383
1943
3930
2598
1854
2011
4832
2466
3259
2281
