"total_counts"
3437
5748
2848
1539
4801
1358
1095
1488
3033
1935
2502
2281
1379
2163
943
1947
979
2459
2024
3298
1462
934
2396
3286
1720
2565
2701
7831
987
1778
4817
2861
2464
1420
3154
1913
2347
2423
1484
2584
2116
1619
1632
2968
898
2685
5555
3075
1824
1953
966
3219
792
2508
4457
5107
5115
2265
1654
3436
3061
1814
2609
2950
2579
1062
1208
3748
609
1399
2186
2047
2500
565
1221
2514
4868
2454
1968
2808
1652
1860
1796
3233
2687
2517
2891
1944
2493
3588
2541
4707
2175
930
2402
2874
3754
2568
1165
1955
3910
1783
1475
369
2094
2808
1468
5137
1330
999
2259
2488
3543
1938
940
1917
1141
2594
1141
1980
2723
2871
1430
2509
2311
1096
1751
1071
2609
1225
3558
2525
1826
3912
1515
3379
1587
810
4212
1455
3932
2788
2191
2535
7407
2760
3511
3226
4639
1553
3838
2293
2614
1981
3423
1605
826
2939
1474
2754
2219
3029
1644
2422
767
2115
2528
2689
3245
4371
2518
2293
4661
1919
144
1447
3135
521
986
842
914
984
894
998
714
901
952
720
765
803
2390
1086
1096
1084
826
704
577
1968
1728
2953
1527
4731
1423
2603
2665
2618
1589
1592
1662
1954
4187
2304
1915
1835
2706
1809
1914
1427
1619
1914
1320
1698
1839
2143
2786
1835
