"barcode_rank"	"total_counts"	"fitted"	"is_empty"
197	959	961.725097750257	FALSE
198	952	945.334265257714	FALSE
199	926	929.428919786346	FALSE
200	903	914.078055830073	FALSE
201	901	899.334368891163	FALSE
202	870	885.202361612468	FALSE
203	861	871.656146022148	FALSE
204	851	858.598190490964	FALSE
205	834	845.900461737077	FALSE
206	831	833.365734790022	FALSE
207	810	820.785868573228	FALSE
208	806	807.929699536601	FALSE
209	786	794.54277557088	FALSE
210	783	780.380893732811	FALSE
211.5	760	757.159665092296	FALSE
211.5	760	757.159665092296	FALSE
213	738	730.978301021343	FALSE
214	710	711.667958796053	FALSE
215	697	690.793663398703	FALSE
216	689	668.355551376542	FALSE
217	648	644.412524460026	FALSE
218.5	615	606.028050181939	FALSE
218.5	615	606.028050181939	FALSE
220	608	565.319687575367	FALSE
221	575	537.360691353435	FALSE
222	564	509.146290885837	FALSE
223	463	481.253196137566	FALSE
224	445	454.213560737381	FALSE
225	358	428.44754396975	FALSE
226	234	NA	FALSE
